selected,authors,title,url,conf,code,slides,comments,tags
TRUE,"Eugene Wu, Samuel Madden",Scorpion: Explaining Away Outliers in Aggregate Queries,http://sirrice.github.io/files/papers/scorpion-vldb13.pdf,VLDB 2013 (Selected as one of the best papers of the conference!),,http://sirrice.github.io/files/talks/scorpion_vldb13.pdf,,"explain,vis"
TRUE,"Eugene Wu, Samuel Madden, Michael Stonebraker",SubZero: a Fine-Grained Lineage System for Scientific Databases,http://sirrice.github.io/files/papers/subzero-icde13.pdf,ICDE 2013 (Selected as one of the best papers of the conference!),,,,"db,vis"
,"Eugene Wu, Samuel Madden, Michael Stonebraker",A Demonstration of DBWipes: Clean as You Query,http://sirrice.github.io/files/papers/dbwipes-vldb2012.pdf,VLDB 2012,,,,"clean,vis"
TRUE,"Adam Marcus, Eugene Wu, David Karger, Samuel Madden, Robert Miller",Human-powered Sorts and Joins,http://sirrice.github.io/files/papers/qurk-vldb2012.pdf,VLDB 2012,,,,crowd
,"Eugene Wu, Sam Madden",Partitioning Techniques for Fine-Grained Indexing,http://sirrice.github.io/files/papers/shinobi-icde11.pdf,ICDE 2011,,,,db
,"Adam Marcus, Eugene Wu, David Karger, Samuel Madden, Robert Miller",Demonstration of Qurk: A Query Processor for Human Operators,http://sirrice.github.io/files/papers/qurk-sigmod2011.pdf,SIGMOD 2011,,,,crowd
TRUE,"Eugene Wu, Carlo Curino, Sam Madden",No Bits Left Behind,http://sirrice.github.io/files/papers/bits-cidr11.pdf,CIDR 2011,,,,db
TRUE,"Adam Marcus, Eugene Wu, Sam Madden, Robert Miller",Crowdsourced Databases: Query Processing with People,http://sirrice.github.io/files/papers/qurk-cidr11.pdf,CIDR 2011,,,,crowd
TRUE,"Carlo Curino, Evan Jones, Raluca Popa, Nirmesh Malviya, Eugene Wu, Sam Madden, Hari Balakrishnan, Nickolai Zeldovich",Relational Cloud: A Database-as-a-Service for the Cloud,http://sirrice.github.io/files/papers/relcloud-cidr11.pdf,CIDR 2011,,,,db
,"Carlo Curino, Evan Jones, Yang Zhang, Eugene Wu, Sam Madden",Relational Cloud: The Case for a Database Service,http://sirrice.github.io/files/papers/caseforrelationalcloud.pdf,,,,,db
,"Philippe Cudre-Mauroux, Eugene Wu, Sam Madden",TrajStore: An Adaptive Storage System for Very Large Trajectory Data Sets,http://sirrice.github.io/files/papers/trajstore-icde10.pdf,ICDE 2010,,,,db
,"Eugene Wu, Philippe Cudre-Mauroux, Sam Madden",Demonstration of the TrajStore System,http://sirrice.github.io/files/papers/trajstore-vldb09demo.pdf,VLDB 2009,,,,db
,"Philippe Cudre-Mauroux, Eugene Wu, Sam Madden","The Case for RodentStore: An Adaptive, Declarative Storage System",http://www-db.cs.wisc.edu/cidr/cidr2009/Paper_97.pdf,CIDR 2009,,,,db
,"Michael Cafarella, Alon Halevy, Daisy Wang, Eugene Wu, Yang Zhang",WebTables: Exploring the Power of Tables on the Web,http://sirrice.github.io/files/papers/webtables-vldb08.pdf,VLDB 2008,,,,"db,web"
,"Michael Cafarella, Nodira Khoussainova, Daisy Wang, Eugene Wu, Yang Zhang, Alon Halevy",Uncovering the Relational Web,http://sirrice.github.io/files/papers/relweb-webdb08.pdf,WebDB 2008,,,,"db,web"
,"Daniel Gyllstrom, Eugene Wu, Hee-Jin Chae, Yanlei Diao, Patrick Stahlberg, Gordon Anderson",SASE: Complex Event Processing over Streams (Demo),#,CIDR 2007,,,,db
TRUE,"Eugene Wu, Yanlei Diao, Shariq Rizvi",High-performance complex event processing over streams,http://sirrice.github.io/files/papers/sase-sigmod06.pdf,SIGMOD 2006,,,,db
,"Daniel Gyllstrom, Eugene Wu, Hee-Jin Chae, Yanlei Diao, Patrick Stahlberg, Gordon Anderson",SASE: Complex Event Processing over Streams,#,CoRR 2006,,,,db
,"Minos N. Garofalakis, Kurt P. Brown, Michael J. Franklin, Joseph M. Hellerstein, Daisy Zhe Wang, Eirinaios Michelakis, Liviu Tancau, Eugene Wu, Shawn R. Jeffery, Ryan Aipperspach",Probabilistic Data Management for Pervasive Computing: The Data Furnace Project,#,IEEE Data Eng. Bull.,,,,db
,"Michael J. Franklin, Shawn R. Jeffery, Sailesh Krishnamurthy, Frederick Reiss, Shariq Rizvi, Eugene Wu, Owen Cooper, Anil Edakkunni, Wei Hong",Design Considerations for High Fan-In Systems: The HiFi Approach,http://sirrice.github.io/files/papers/,CIDR 2005,,,,db
,"Owen Cooper, Anil Edakkunni, Michael J. Franklin, Wei Hong, Shawn R. Jeffery, Sailesh Krishnamurthy, Frederick Reiss, Shariq Rizvi, Eugene Wu",HiFi: A Unified Architecture for High Fan-in Systems,#,VLDB 2004 Demo,,,,db
